transaction_id,customer_id,product_id,quantity,transaction_date,payment_method,discount_pct,total_amount
TX300079,CUST100103,PROD200326,1,2021-07-13,Debit Card,0,871.75
TX300080,CUST100765,PROD200326,4,2024-02-17,Credit Card,5,3312.65
TX300081,CUST100094,PROD201178,3,2024-10-21,Debit Card,0,1150.83
TX300082,CUST100728,PROD200009,4,2023-03-03,Debit Card,0,2340.84
TX300083,CUST100479,PROD200352,4,2022-08-05,Debit Card,0,555.32
TX300084,CUST100779,PROD200182,2,2022-06-01,Mobile Pay,30,2033.26
TX300085,CUST101264,PROD200454,4,2024-09-06,Debit Card,10,2675.88
TX300086,CUST100012,PROD201669,2,2024-05-19,Credit Card,5,1900.46
TX300087,CUST101170,PROD200005,3,2021-11-04,Debit Card,5,1874.42
TX300088,CUST100600,PROD201356,4,2022-11-14,Cash,10,4115.2
TX300089,CUST100094,PROD201356,1,2021-06-16,Mobile Pay,20,914.49
TX300090,CUST100292,PROD201281,3,2024-04-08,Debit Card,0,2741.7
TX300091,CUST100024,PROD200210,4,2024-09-21,Credit Card,5,2563.82
TX300092,CUST101295,PROD200050,4,2021-10-17,Credit Card,0,3177.72
TX300093,CUST101189,PROD201468,1,2022-12-18,Credit Card,5,995.58
TX300094,CUST100938,PROD201682,2,2022-09-28,Credit Card,5,826.29
TX300095,CUST100761,PROD201009,4,2024-09-05,Cash,0,1443.76
TX300096,CUST101110,PROD200376,4,2024-09-18,Credit Card,5,4663.59
TX300097,CUST100653,PROD200639,1,2023-03-14,Credit Card,10,1141.16
TX300098,CUST100984,PROD201509,3,2021-09-22,Cash,0,2202.9
TX300099,CUST100637,PROD200769,4,2024-05-03,Credit Card,0,1121.64
TX300100,CUST100490,PROD201074,2,2021-06-23,Credit Card,0,1687.84
TX300101,CUST101164,PROD200153,2,2022-09-27,Debit Card,10,2437.72
TX300102,CUST101126,PROD200581,1,2024-02-19,Credit Card,5,795.84
TX300103,CUST101249,PROD200787,2,2023-02-11,Debit Card,20,2023.15
TX300104,CUST100574,PROD200790,4,2024-08-10,Cash,0,219.28
TX300105,CUST100293,PROD201333,2,2022-11-04,Mobile Pay,0,2302.44
TX300106,CUST100895,PROD201422,4,2021-09-19,Credit Card,5,2245.61
TX300107,CUST101329,PROD200133,1,2024-10-04,Credit Card,5,165.31
TX300108,CUST101277,PROD200219,2,2023-12-15,Debit Card,5,1235.42
TX300109,CUST101203,PROD200162,4,2021-07-11,Credit Card,0,3300.84
TX300110,CUST100039,PROD200970,3,2024-08-16,Debit Card,0,3497.85
TX300111,CUST100775,PROD200647,4,2024-10-05,Credit Card,15,4061.98
TX300112,CUST100519,PROD200568,4,2023-05-18,Debit Card,0,2249.8
TX300113,CUST100545,PROD201525,1,2023-11-08,Mobile Pay,0,163.34
TX300114,CUST100235,PROD200945,4,2023-01-12,Mobile Pay,0,5946.52
TX300115,CUST100462,PROD200688,1,2021-02-07,Cash,10,602.92
TX300116,CUST101251,PROD200114,4,2023-01-13,Credit Card,0,2090.68
TX300117,CUST100482,PROD201522,4,2022-09-25,Debit Card,0,1310.52
TX300118,CUST100429,PROD201495,4,2022-01-05,Debit Card,0,414.04
TX300119,CUST101045,PROD201172,1,2022-03-15,Mobile Pay,0,11.73
TX300120,CUST100342,PROD201264,4,2022-12-01,Mobile Pay,15,1750.8
TX300121,CUST101063,PROD200122,1,2023-09-23,Mobile Pay,15,416.87
TX300122,CUST101196,PROD200803,3,2022-01-29,Mobile Pay,30,920.58
TX300123,CUST101462,PROD200838,1,2022-04-09,Debit Card,0,1345.27
TX300124,CUST101202,PROD201092,3,2021-10-09,Cash,0,1098.6
TX300125,CUST100132,PROD200825,1,2021-11-14,Mobile Pay,0,771.31
TX300126,CUST100350,PROD200062,1,2021-06-08,Debit Card,0,174.34
TX300127,CUST100505,PROD200732,4,2022-08-29,Cash,10,2127.56
TX300128,CUST100083,PROD201039,2,2021-07-27,Mobile Pay,30,863.51
TX300129,CUST100992,PROD201413,2,2023-11-06,Debit Card,0,77.42
TX300130,CUST101487,PROD200589,4,2024-01-11,Credit Card,0,736.92
TX300131,CUST100829,PROD201657,3,2023-12-15,Credit Card,0,3811.83
TX300132,CUST100860,PROD200947,4,2021-03-19,Credit Card,20,1951.81
TX300133,CUST100342,PROD201281,2,2024-09-17,Debit Card,5,1736.41
TX300134,CUST101303,PROD200216,1,2022-11-21,Debit Card,30,34.62
TX300135,CUST100865,PROD200478,4,2024-06-19,Debit Card,10,215.14
TX300136,CUST101286,PROD201137,3,2021-09-26,Debit Card,10,1429.24
TX300137,CUST101189,PROD201403,4,2024-05-08,Mobile Pay,0,4119.92
TX300138,CUST100292,PROD201681,2,2023-02-11,Credit Card,30,898.86
TX300139,CUST101249,PROD200976,1,2021-11-12,Mobile Pay,10,1181.03
TX300140,CUST101193,PROD200236,2,2021-11-29,Credit Card,5,1835.3
TX300141,CUST100597,PROD200475,2,2022-01-06,Debit Card,0,454.42
TX300142,CUST100644,PROD200597,2,2024-07-03,Debit Card,0,2425.74
TX300143,CUST100447,PROD201702,2,2021-12-06,Cash,0,2212.58
TX300144,CUST100689,PROD200128,1,2023-06-16,Debit Card,0,709.69
TX300145,CUST101001,PROD200509,2,2021-03-31,Credit Card,30,1748.88
TX300146,CUST100854,PROD200164,3,2023-04-22,Credit Card,15,1685.12
TX300147,CUST100501,PROD200276,3,2023-01-17,Credit Card,15,320.43
TX300148,CUST100763,PROD200256,2,2024-10-17,Credit Card,10,23.53
TX300149,CUST100734,PROD201155,3,2022-05-02,Debit Card,5,3840.94
TX300150,CUST101402,PROD200991,2,2023-06-29,Debit Card,0,2135.86
TX300151,CUST101224,PROD200569,1,2024-06-04,Cash,0,222.62
TX300152,CUST100249,PROD201280,1,2022-08-07,Mobile Pay,20,405.06
TX300153,CUST101432,PROD200140,3,2023-07-09,Debit Card,0,2102.79
TX300154,CUST100600,PROD200685,3,2022-04-25,Credit Card,10,3266.35
TX300155,CUST100124,PROD200686,2,2023-12-30,Cash,10,2672.39
TX300156,CUST100112,PROD201232,4,2022-05-05,Debit Card,5,2559.3
TX300157,CUST100980,PROD200715,2,2022-09-26,Debit Card,30,631.86
TX300158,CUST101160,PROD201022,2,2023-08-19,Debit Card,0,2854.82
TX300159,CUST100149,PROD201542,1,2022-02-02,Debit Card,15,5.98
TX300160,CUST100874,PROD201074,4,2023-01-24,Mobile Pay,10,3038.11
TX300161,CUST100342,PROD201526,4,2024-10-21,Mobile Pay,30,92.06
TX300162,CUST100579,PROD201282,2,2024-03-14,Mobile Pay,20,1385.28
TX300163,CUST100782,PROD200177,1,2023-06-22,Cash,0,554.94
TX300164,CUST100320,PROD200921,3,2023-08-04,Mobile Pay,0,1228.29
TX300165,CUST100821,PROD200542,1,2022-08-01,Credit Card,20,368.27
TX300166,CUST100531,PROD201379,3,2023-02-22,Cash,0,1512.15
TX300167,CUST101312,PROD201341,1,2023-10-27,Credit Card,0,1211.78
TX300168,CUST100491,PROD201689,4,2023-12-17,Cash,10,4111.88
TX300169,CUST100611,PROD200962,1,2023-05-08,Credit Card,5,297.6
TX300170,CUST100251,PROD200363,2,2021-11-28,Credit Card,10,1203.41
TX300171,CUST101100,PROD201078,3,2022-02-13,Credit Card,10,1267.14
TX300172,CUST101415,PROD201179,1,2024-05-23,Credit Card,10,1227.87
TX300173,CUST101435,PROD201067,1,2021-10-11,Credit Card,10,459.47
TX300174,CUST100172,PROD200592,3,2022-05-28,Credit Card,30,2456.18
TX300175,CUST100874,PROD201701,1,2021-04-17,Cash,0,629.37
TX300176,CUST100200,PROD200541,3,2024-08-06,Mobile Pay,0,3310.8
TX300177,CUST100216,PROD200321,4,2023-09-12,Cash,0,4106.92
TX300178,CUST100375,PROD200647,3,2023-01-31,Cash,20,2867.28
TX300179,CUST100010,PROD200013,3,2024-02-10,Cash,0,75.15
TX300180,CUST101035,PROD201380,4,2021-07-30,Mobile Pay,10,3934.51
TX300181,CUST100891,PROD201506,1,2023-11-23,Debit Card,0,1189.11
TX300182,CUST100434,PROD200617,1,2021-09-13,Debit Card,20,617.07
TX300183,CUST100817,PROD200358,4,2022-08-07,Mobile Pay,20,4149.15
TX300184,CUST101396,PROD201341,2,2021-06-21,Credit Card,15,2060.03
TX300185,CUST101296,PROD201098,3,2021-11-25,Credit Card,0,2255.49
TX300186,CUST100930,PROD201614,1,2022-07-13,Cash,0,771.1
TX300187,CUST100690,PROD200193,1,2023-07-10,Credit Card,0,663.13
TX300188,CUST101155,PROD200362,3,2023-11-18,Debit Card,0,2778.9
TX300189,CUST100854,PROD201119,3,2021-10-29,Credit Card,0,903.18
TX300190,CUST100783,PROD201063,3,2023-06-15,Cash,0,4452.18
TX300191,CUST100318,PROD200767,2,2021-07-07,Mobile Pay,0,2565.68
TX300192,CUST100843,PROD200396,4,2022-03-31,Credit Card,15,2544.49
TX300193,CUST100620,PROD200106,2,2023-07-13,Credit Card,15,1122.97
TX300194,CUST100784,PROD201040,2,2022-12-17,Credit Card,5,2134.86
TX300195,CUST101191,PROD200526,3,2021-02-24,Debit Card,30,2225.92
TX300196,CUST100396,PROD201010,4,2023-04-30,Credit Card,0,4925.24
TX300197,CUST101203,PROD200783,1,2021-04-20,Debit Card,0,358.67
TX300198,CUST101081,PROD201522,3,2023-03-23,Credit Card,0,982.89
TX300199,CUST100459,PROD200524,4,2023-10-26,Credit Card,30,3028.34
TX300200,CUST100060,PROD201782,1,2023-02-05,Credit Card,0,531.69
TX300201,CUST100368,PROD201749,2,2022-04-28,Debit Card,20,531.36
TX300202,CUST101144,PROD201686,4,2023-03-02,Credit Card,0,4409.76
TX300203,CUST100718,PROD201066,2,2021-06-17,Debit Card,15,81.79
TX300204,CUST100545,PROD200625,2,2023-02-07,Credit Card,0,1671.02
TX300205,CUST101040,PROD201616,4,2022-04-05,Credit Card,10,202.39
TX300206,CUST100495,PROD200349,1,2021-02-27,Credit Card,30,522.24
TX300207,CUST100496,PROD201676,4,2022-10-15,Debit Card,20,4692.0
TX300208,CUST100504,PROD201053,1,2021-07-22,Debit Card,15,163.66
TX300209,CUST100968,PROD201464,3,2024-08-24,Mobile Pay,0,3575.4
TX300210,CUST101338,PROD201005,3,2022-11-18,Credit Card,10,1614.9
TX300211,CUST101092,PROD200541,3,2021-10-27,Credit Card,15,2814.18
TX300212,CUST100160,PROD201478,2,2021-10-09,Credit Card,0,538.16
TX300213,CUST100717,PROD201634,3,2021-03-20,Credit Card,10,3205.17
TX300214,CUST101168,PROD200961,2,2022-08-11,Credit Card,0,2171.6
TX300215,CUST100992,PROD200093,1,2023-08-26,Credit Card,0,985.17
TX300216,CUST101408,PROD201746,4,2021-10-12,Credit Card,10,2989.73
TX300217,CUST100268,PROD201318,4,2023-08-19,Debit Card,0,1776.68
TX300218,CUST101477,PROD201572,2,2023-07-08,Cash,0,1407.06
TX300219,CUST100698,PROD200898,2,2024-06-14,Credit Card,0,2742.16
TX300220,CUST100864,PROD200088,2,2021-01-11,Debit Card,10,1693.84
TX300221,CUST100349,PROD200502,1,2021-06-12,Cash,10,1109.88
TX300222,CUST100109,PROD200766,1,2021-02-08,Credit Card,0,837.31
TX300223,CUST100406,PROD200213,3,2022-06-09,Cash,30,406.56
TX300224,CUST100649,PROD201445,3,2022-03-18,Mobile Pay,0,4172.55
TX300225,CUST100050,PROD200525,4,2021-11-03,Mobile Pay,10,3656.2
TX300226,CUST101426,PROD200191,3,2024-01-29,Debit Card,0,773.52
TX300227,CUST101499,PROD200693,1,2024-05-31,Debit Card,5,637.87
TX300228,CUST101110,PROD200641,1,2023-12-17,Cash,5,380.62
TX300229,CUST101091,PROD201247,1,2023-05-17,Credit Card,5,837.31
TX300230,CUST100595,PROD200554,1,2021-08-16,Cash,15,1132.94
TX300231,CUST100978,PROD201716,4,2022-08-14,Credit Card,15,2737.68
TX300232,CUST101065,PROD200386,4,2022-05-02,Cash,0,5734.72
TX300233,CUST100730,PROD200680,1,2022-09-09,Credit Card,10,982.65
TX300234,CUST100056,PROD200775,2,2021-09-07,Credit Card,0,116.94
TX300235,CUST100737,PROD201497,3,2021-04-08,Debit Card,15,3797.66
TX300236,CUST100195,PROD201631,4,2022-05-04,Debit Card,10,3280.57
TX300237,CUST101085,PROD200202,2,2023-05-10,Credit Card,0,2359.16
TX300238,CUST101286,PROD201009,3,2024-08-01,Debit Card,10,974.54
TX300239,CUST100111,PROD200446,2,2024-06-29,Credit Card,20,1903.39
TX300240,CUST100764,PROD200899,1,2023-07-26,Debit Card,0,1320.49
TX300241,CUST100710,PROD201091,3,2021-05-09,Credit Card,5,1573.34
TX300242,CUST101201,PROD201115,2,2021-08-16,Credit Card,10,655.69
TX300243,CUST100947,PROD200777,4,2023-10-21,Credit Card,0,3978.04
TX300244,CUST100025,PROD200177,4,2024-05-07,Credit Card,10,1997.78
TX300245,CUST100409,PROD201686,4,2024-01-03,Debit Card,0,4409.76
TX300246,CUST100757,PROD200828,3,2021-02-03,Credit Card,20,2637.96
TX300247,CUST100530,PROD200558,1,2024-07-18,Cash,15,815.68
TX300248,CUST101340,PROD201026,1,2023-11-22,Credit Card,20,1071.98
TX300249,CUST101129,PROD200102,3,2024-03-23,Credit Card,0,3320.73
TX300250,CUST100748,PROD201296,3,2022-05-11,Debit Card,0,3435.12
TX300251,CUST101487,PROD201557,1,2021-10-22,Credit Card,0,594.75
TX300252,CUST100245,PROD200115,4,2022-08-20,Credit Card,5,4607.77
TX300253,CUST101104,PROD200858,1,2023-05-30,Credit Card,20,923.7
TX300254,CUST100661,PROD200463,1,2021-01-04,Credit Card,20,866.5
TX300255,CUST100908,PROD200103,2,2024-06-13,Debit Card,5,208.62
TX300256,CUST100395,PROD200258,4,2022-12-24,Debit Card,10,5252.69
TX300257,CUST100521,PROD201331,3,2022-05-08,Credit Card,30,1487.24
TX300258,CUST100925,PROD201390,1,2024-03-14,Debit Card,20,374.43
TX300259,CUST100263,PROD200928,4,2023-05-04,Mobile Pay,10,1756.76
TX300260,CUST100789,PROD200809,3,2022-01-19,Mobile Pay,5,1846.6
TX300261,CUST101297,PROD200641,2,2024-09-22,Credit Card,5,761.23
TX300262,CUST100171,PROD200806,2,2024-09-30,Credit Card,15,1030.88
TX300263,CUST100264,PROD201022,4,2021-06-25,Debit Card,15,4853.19
TX300264,CUST101049,PROD201325,1,2023-12-09,Credit Card,0,104.69
TX300265,CUST101492,PROD200559,3,2023-01-09,Credit Card,5,229.82
TX300266,CUST100475,PROD200026,4,2021-05-19,Credit Card,15,1530.1
TX300267,CUST100355,PROD200507,2,2023-12-14,Credit Card,10,1065.46
TX300268,CUST101049,PROD200526,3,2024-01-20,Debit Card,5,3020.89
TX300269,CUST100033,PROD200774,3,2023-11-06,Debit Card,0,3664.08
TX300270,CUST100263,PROD201388,1,2023-11-06,Credit Card,10,356.12
TX300271,CUST101161,PROD200952,2,2024-02-09,Debit Card,10,160.99
TX300272,CUST100815,PROD200297,2,2021-02-11,Debit Card,0,237.22
TX300273,CUST100874,PROD200776,2,2023-03-11,Debit Card,30,1112.58
TX300274,CUST100753,PROD200360,3,2023-08-21,Mobile Pay,10,792.48
TX300275,CUST100565,PROD201669,2,2021-03-31,Mobile Pay,20,1600.38
TX300276,CUST100461,PROD200503,4,2024-07-25,Debit Card,0,190.84
TX300277,CUST101191,PROD200587,2,2023-03-04,Cash,15,1929.79
TX300278,CUST100654,PROD200029,3,2023-02-04,Credit Card,10,2129.25
TX300279,CUST100080,PROD201462,2,2022-06-04,Debit Card,0,496.7
TX300280,CUST100756,PROD201363,2,2021-02-03,Debit Card,0,1424.78
TX300281,CUST100869,PROD200125,3,2023-01-02,Debit Card,0,1426.89
TX300282,CUST101430,PROD200595,2,2021-05-19,Credit Card,0,1712.16
TX300283,CUST101069,PROD201589,1,2022-12-08,Credit Card,0,1391.17
TX300284,CUST100598,PROD201389,3,2022-05-09,Credit Card,10,3989.28
TX300285,CUST100806,PROD201466,2,2024-09-07,Debit Card,0,332.3
TX300286,CUST101076,PROD200262,1,2024-07-10,Mobile Pay,15,1106.8
TX300287,CUST100983,PROD200935,4,2021-08-01,Credit Card,10,3293.39
TX300288,CUST100703,PROD200871,3,2024-04-06,Mobile Pay,0,441.27
TX300289,CUST100475,PROD201245,2,2022-11-12,Credit Card,0,728.38
TX300290,CUST100591,PROD200001,3,2021-10-01,Mobile Pay,20,1461.46
TX300291,CUST100015,PROD200393,1,2021-04-01,Cash,20,1071.56
TX300292,CUST101383,PROD200305,3,2022-12-23,Credit Card,0,1764.54
TX300293,CUST100486,PROD201169,4,2024-01-24,Credit Card,10,5267.88
TX300294,CUST100705,PROD200529,2,2022-11-25,Credit Card,30,471.81
TX300295,CUST101164,PROD200527,4,2024-08-09,Mobile Pay,30,2061.92
TX300296,CUST100619,PROD201331,1,2021-12-25,Credit Card,0,708.21
TX300297,CUST101018,PROD200964,3,2023-08-10,Debit Card,5,1447.83
TX300298,CUST100776,PROD200670,2,2023-09-08,Credit Card,10,1912.99
TX300299,CUST100446,PROD201363,2,2024-07-17,Mobile Pay,0,1424.78
TX300300,CUST100289,PROD200351,1,2022-01-09,Credit Card,15,94.7
TX300301,CUST100208,PROD200809,1,2021-10-04,Credit Card,5,615.53
TX300302,CUST101498,PROD200208,3,2021-05-10,Credit Card,5,353.63
TX300303,CUST100412,PROD200957,2,2023-07-27,Debit Card,0,1210.6
TX300304,CUST100676,PROD200204,1,2021-03-17,Credit Card,0,1226.42
TX300305,CUST101450,PROD200624,2,2022-08-24,Debit Card,0,1743.1
TX300306,CUST101394,PROD201713,3,2022-02-17,Credit Card,20,3049.01
TX300307,CUST100663,PROD200720,4,2021-03-31,Debit Card,0,4502.6
TX300308,CUST100289,PROD200635,1,2022-02-13,Debit Card,0,1324.29
TX300309,CUST101455,PROD201038,3,2021-03-27,Credit Card,0,4111.8
TX300310,CUST101291,PROD200857,4,2022-10-09,Credit Card,0,3662.0
TX300311,CUST100150,PROD201451,3,2022-09-28,Cash,10,3921.67
TX300312,CUST101278,PROD200475,1,2023-11-22,Credit Card,15,193.13
TX300313,CUST101376,PROD200297,3,2023-03-27,Credit Card,20,284.66
TX300314,CUST101400,PROD200556,2,2024-01-18,Debit Card,10,1281.51
TX300315,CUST100854,PROD201117,1,2023-08-28,Credit Card,0,1365.04
TX300316,CUST101381,PROD200106,2,2022-06-03,Debit Card,0,1321.14
TX300317,CUST100607,PROD201442,3,2021-03-16,Credit Card,5,3717.37
TX300318,CUST100369,PROD201301,1,2024-08-17,Credit Card,5,754.37
TX300319,CUST101250,PROD200127,2,2022-01-27,Cash,10,1295.3
TX300320,CUST100704,PROD200458,2,2022-08-09,Credit Card,5,968.79
TX300321,CUST101326,PROD200037,2,2023-01-02,Credit Card,0,935.7
TX300322,CUST100825,PROD201632,4,2021-04-08,Cash,5,2994.48
TX300323,CUST101004,PROD200197,2,2024-09-04,Credit Card,0,1190.88
TX300324,CUST101412,PROD201727,2,2022-11-11,Debit Card,0,1362.3
TX300325,CUST100376,PROD200356,3,2022-07-14,Mobile Pay,0,1382.19
TX300326,CUST100972,PROD200006,3,2021-09-12,Debit Card,5,2714.71
TX300327,CUST100117,PROD201579,3,2023-01-24,Credit Card,0,4262.49
TX300328,CUST101028,PROD201355,3,2023-06-14,Debit Card,0,3479.25
TX300329,CUST100443,PROD200518,4,2023-03-31,Credit Card,0,1358.2
TX300330,CUST101375,PROD200193,3,2023-06-20,Credit Card,0,1989.39
TX300331,CUST100754,PROD200315,3,2023-03-03,Cash,30,1337.07
TX300332,CUST100639,PROD201024,3,2022-11-26,Credit Card,15,2977.46
TX300333,CUST100123,PROD201085,2,2022-01-18,Credit Card,15,100.52
TX300334,CUST100657,PROD200342,4,2023-10-14,Credit Card,5,1731.2
TX300335,CUST101300,PROD200600,3,2023-10-16,Mobile Pay,30,2274.97
TX300336,CUST100821,PROD201041,2,2023-01-23,Credit Card,10,314.33
TX300337,CUST101417,PROD200619,1,2023-11-30,Credit Card,0,786.48
TX300338,CUST100663,PROD201670,4,2022-07-01,Debit Card,10,1168.34
TX300339,CUST100359,PROD201394,3,2021-06-19,Debit Card,5,2725.03
TX300340,CUST100622,PROD200821,2,2023-05-20,Credit Card,5,1113.42
TX300341,CUST101492,PROD201602,1,2021-06-11,Mobile Pay,15,620.73
TX300342,CUST101080,PROD201628,1,2023-06-01,Credit Card,5,596.42
TX300343,CUST101274,PROD201673,2,2024-05-18,Credit Card,10,420.62
TX300344,CUST100918,PROD201724,2,2022-01-05,Credit Card,0,965.36
TX300345,CUST101173,PROD201594,4,2024-01-23,Debit Card,20,4612.13
TX300346,CUST100451,PROD201722,2,2022-08-25,Credit Card,0,1060.22
TX300347,CUST101185,PROD200234,3,2022-10-20,Cash,30,1729.08
TX300348,CUST100119,PROD201092,1,2021-07-30,Mobile Pay,10,329.58
TX300349,CUST100581,PROD200446,3,2021-06-13,Credit Card,5,3390.42
TX300350,CUST101374,PROD200609,3,2022-11-03,Mobile Pay,0,3273.33
TX300351,CUST100098,PROD200007,3,2024-09-15,Credit Card,0,2033.49
TX300352,CUST101190,PROD200461,1,2022-08-29,Credit Card,15,1000.42
TX300353,CUST100513,PROD200999,1,2022-09-20,Cash,0,278.88
TX300354,CUST100663,PROD201334,1,2023-07-03,Debit Card,0,1454.49
TX300355,CUST100400,PROD200133,2,2024-05-19,Cash,0,348.02
TX300356,CUST100364,PROD200384,3,2023-05-23,Debit Card,0,2036.43
TX300357,CUST101349,PROD200055,4,2021-12-08,Mobile Pay,0,4136.64
TX300358,CUST100580,PROD200992,2,2023-06-29,Cash,10,1190.47
TX300359,CUST100620,PROD201383,2,2022-12-21,Credit Card,30,1571.14
